method,dataset,dimensions,hits@20,hits@50,hits@100,init_time,calc_time,num_node_pairs,device
resource-allocation,soc-slashdot0922,82168,0.5814899943065601,0.7924003120848533,0.8394660818590136,0.030515800113789737,0.07010890007950366,94845,cpu
hyperhash-jaccard,soc-slashdot0922,1000,0.12415916327520402,0.16063935221306117,0.19840583683023005,0.3376650999998674,0.13081620004959404,94845,cpu
dothash-jaccard,soc-slashdot0922,1000,0.11886637285705248,0.16354933260232377,0.20953967484132172,0.33441749995108694,0.05362759996205568,94845,cpu
hyperhash-adamic-adar,soc-slashdot0922,1000,0.24127533053581596,0.3269510575037429,0.4221580245872256,0.35556249995715916,0.05291840003337711,94845,cpu
dothash-adamic-adar,soc-slashdot0922,1000,0.23532884887080108,0.3350483942390823,0.40929506779410835,0.33773819997441024,0.05275939998682588,94845,cpu
hyperhash-common-neighbors,soc-slashdot0922,1000,0.19393543217426143,0.2772916095565443,0.38527718617548445,0.3555532000027597,0.05310790007933974,94845,cpu
dothash-common-neighbors,soc-slashdot0922,1000,0.22423718448853933,0.2756468380321785,0.37545073065811946,0.32820380001794547,0.05265610001515597,94845,cpu
hyperhash-resource-allocation,soc-slashdot0922,1000,0.1772979356008688,0.26767602218332875,0.3357864327436054,0.3543835999444127,0.05293789994902909,94845,cpu
dothash-resource-allocation,soc-slashdot0922,1000,0.16833603947451659,0.26333213841384984,0.349303080783586,0.3343644000124186,0.0526401000097394,94845,cpu
minhash,soc-slashdot0922,1000,0.13223541319612847,0.1692427724943593,0.2095185880269068,1.1598044000566006,0.0929486999521032,94845,cpu
simhash,soc-slashdot0922,1000,0.005229529974906691,0.012694262277797692,0.0270332960799612,0.3567665999289602,0.060058899922296405,94845,cpu
jaccard,facebook,22470,0.6224561403508772,0.706140350877193,0.7947953216374269,0.022905200021341443,0.01810969994403422,34200,cpu
adamic-adar,facebook,22470,0.7009941520467836,0.7865497076023392,0.8498830409356725,0.012246400001458824,0.015549100004136562,34200,cpu
common-neighbors,facebook,22470,0.6131578947368421,0.7,0.8152046783625732,0.012908699922263622,0.016738399979658425,34200,cpu
resource-allocation,facebook,22470,0.7214035087719298,0.8212865497076023,0.8707017543859649,0.011140499962493777,0.015671400004066527,34200,cpu
hyperhash-jaccard,facebook,1000,0.6297076023391813,0.6678947368421052,0.6905847953216374,0.09458109992556274,0.03937529993709177,34200,cpu
dothash-jaccard,facebook,1000,0.6283625730994152,0.7114035087719298,0.7435087719298246,0.09748330002184957,0.01914530002977699,34200,cpu
hyperhash-adamic-adar,facebook,1000,0.6798245614035088,0.7281286549707602,0.773625730994152,0.11367380002047867,0.01880620000883937,34200,cpu
dothash-adamic-adar,facebook,1000,0.6753801169590643,0.7294736842105263,0.774327485380117,0.10086179990321398,0.019378600060008466,34200,cpu
hyperhash-common-neighbors,facebook,1000,0.6461988304093568,0.7071929824561404,0.7473684210526316,0.09695419995114207,0.018801500089466572,34200,cpu
dothash-common-neighbors,facebook,1000,0.6149122807017544,0.712514619883041,0.7567836257309941,0.0966060000937432,0.019220400019548833,34200,cpu
hyperhash-resource-allocation,facebook,1000,0.4923391812865497,0.6262573099415205,0.6728654970760234,0.09912269993219525,0.018575900001451373,34200,cpu
dothash-resource-allocation,facebook,1000,0.49719298245614035,0.6227485380116959,0.6745614035087719,0.0996681998949498,0.019378599943593144,34200,cpu
minhash,facebook,1000,0.601812865497076,0.6970175438596491,0.7804093567251462,0.34181770007126033,0.034085000050254166,34200,cpu
simhash,facebook,1000,0.017660818713450294,0.02783625730994152,0.05923976608187134,0.09748519991990179,0.023531500017270446,34200,cpu
jaccard,wikipedia,11631,0.0,0.0,0.0,0.00995029998011887,0.06129260000307113,34168,cpu
adamic-adar,wikipedia,11631,0.06192929056427066,0.1376726761882463,0.1376726761882463,0.012306999997235835,0.058107699966058135,34168,cpu
common-neighbors,wikipedia,11631,0.028389136033715758,0.08897213767267619,0.09219152423320065,0.01014299993403256,0.05864079995080829,34168,cpu
resource-allocation,wikipedia,11631,0.22723015687192694,0.2716576914071646,0.38053149145399207,0.010785200051032007,0.05739690002519637,34168,cpu
hyperhash-jaccard,wikipedia,1000,0.0,0.0,0.0,0.08035049994941801,0.03920419991482049,34168,cpu
dothash-jaccard,wikipedia,1000,0.0005268087099040038,0.0023999063451182394,0.005736361507843597,0.08562060003168881,0.01889780000783503,34168,cpu
hyperhash-adamic-adar,wikipedia,1000,0.05162725357059237,0.13521423554202763,0.13521423554202763,0.08252259995788336,0.017941200057975948,34168,cpu
dothash-adamic-adar,wikipedia,1000,0.05502224303441817,0.14294076328728636,0.14294076328728636,0.0830448999768123,0.017664299928583205,34168,cpu
hyperhash-common-neighbors,wikipedia,1000,0.026574572699601968,0.07931397799110279,0.08229922734722547,0.080457599950023,0.01806949998717755,34168,cpu
dothash-common-neighbors,wikipedia,1000,0.029852493561226878,0.09494263638492156,0.09652306251463358,0.0815697000361979,0.018402099958620965,34168,cpu
hyperhash-resource-allocation,wikipedia,1000,0.1526574572699602,0.20047998126902364,0.23805900257550924,0.08145089994650334,0.017679500044323504,34168,cpu
dothash-resource-allocation,wikipedia,1000,0.1508428939358464,0.19995317255911965,0.2384102083821119,0.08225530001800507,0.017642199993133545,34168,cpu
minhash,wikipedia,1000,0.0,0.0,0.0,0.30243409995455295,0.0330563000170514,34168,cpu
simhash,wikipedia,1000,0.0013462889253102318,0.004448606883633809,0.015804261297120113,0.0820171000668779,0.022867599967867136,34168,cpu
